Ano Vigente,2019,2018,2017,2016,2015,2014,2013,2012,2011
Ativo Total,54867754,29871370,23911787,21350174,19858394,18908981,17466656,20866742,17400785
Ativo Circulante,30561101,20918879,15290182,12556972,11586917,11461416,10557188,15144730,12797001
Caixa e Equivalentes de Caixa,1446434,2473703,1111478,1442467,1397734,1067571,869452,838576,425014
Aplicações Financeiras,5345256,1145052,3421576,2153029,1338991,1476171,1930044,867314,1135289
Contas a Receber,8012185,6626444,2987176,1797990,1766284,2289545,1901571,7919012,6838938
Estoques,11728467,8964389,6399255,5528978,5243160,5149257,4412896,4641170,3883405
Tributos a Recuperar,2544476,912700,767853,1123014,1275391,924668,853721,311513,98736
Outros Ativos Circulantes,1484283,796591,602844,511494,565357,554204,589504,567145,415619
Ativo Realizável a Longo Prazo,5939912,2961236,3021486,3014478,2679740,2135348,2001353,1779766,1332429
Aplicações Financeiras Avaliadas a Valor Justo,692,214,0,10920,205355,0,0,150078,124696
Contas a Receber,0,3269,15290,9731,9865,13776,16337,10262,39113
Estoques,44203,21140,0,0,0,0,0,0,0
Tributos Diferidos,0,195191,931516,961656,757274,576593,592167,805226,723080
Despesas Antecipadas,222776,535782,0,0,0,0,0,0,0
Outros Ativos Não Circulantes,0,552939,2074680,2032171,1707246,1544979,1392849,814200,445540
Investimentos,1198332,1164465,1247128,1490692,1325415,1186023,961691,0,0
Imobilizado,11952189,2591367,2244808,2251039,2271600,2181369,2154672,2170111,1628950
Intangível,5216222,2235423,2108183,2036993,1994722,1944825,1791752,1772135,1642405
Passivo Total,54867754,29871370,23911787,21350174,19858394,18908981,17466656,20866742,17400785
Passivo Circulante,23390526,16428959,13559897,11800922,8791314,9583190,8846642,12783437,11163522
Obrigações Sociais e Trabalhistas,1276685,925131,847773,660619,612813,649048,555824,520396,464951
Fornecedores,16107175,11964692,8662566,6714681,5495401,5895863,5459778,4563219,3936340
Obrigações Fiscais,938288,428016,233496,130997,108865,154297,109434,180487,144186
Empréstimos e Financiamentos,495523,1019073,2561690,3434759,1778274,1982092,1919904,888458,953288
Passivos com Partes Relacionadas,496764,393031,277382,266699,243318,273137,220064,85715,74029
Dividendos e JCP a Pagar,402012,296273,76608,12335,16301,34538,16219,1662,1662
Outros,3674079,1402743,900382,580832,536342,594215,565419,6543500,5589066
Passivo Não Circulante,15174681,4591076,5986733,6806482,8200335,6423644,5939602,5678213,4289270
Empréstimos e Financiamentos,3113573,1415372,2876541,3629023,5790870,4059804,3600784,3575570,2310380
Outros,7236906,7223,9894,9460,9588,7899,1091547,409416,1220035
Tributos Diferidos,162464,0,0,0,0,0,0,26605,47588
Provisões,3171959,1429726,1164474,1070903,970037,1037776,898047,758500,711267
Lucros e Receitas a Apropriar,1489779,1738755,1935824,2097096,1429840,1318165,349224,908122,0
Patrimônio Líquido,16302549,8851335,4365157,2742770,2866745,2902147,2680412,2405092,1947993
Capital Social Realizado,11111940,6879544,3539401,2426020,2426020,2426020,2426020,2426020,1862515
Reservas de Capital,644023,-107736,22449,17269,3492,-38012,-1735,7050,0
Reservas de Lucros,3136242,1217895,392813,234284,447552,361647,123931,47688,27748
Lucros/Prejuízos Acumulados,1404664,843497,400485,61423,-4470,156954,137090,-75973,57730
Outros Resultados Abrangentes,5680,18135,10009,3774,-5849,-4462,-4894,307,0
